file,case,expected_car,expected_noisy,pred_car,car_prob,pred_noisy,noisy_prob,latency,error
slice_203.wav,Voitures normales,True,False,True,0.9709300398826599,False,6.238457217477844e-07,0.21781635284423828,False
slice_019.wav,Voitures normales,True,False,True,0.684374213218689,False,2.0828230633263e-12,0.21076679229736328,False
slice_122.wav,Voitures normales,True,False,True,0.9887540340423584,False,3.956490135514912e-10,0.21446466445922852,False
slice_195.wav,Voitures normales,True,False,True,0.9908043146133423,False,3.7108081869519083e-06,0.23679733276367188,False
slice_082.wav,Voitures normales,True,False,True,0.9823006987571716,False,5.521743002070978e-13,0.23190903663635254,False
slice_250.wav,Voitures normales,True,False,True,0.9927449822425842,False,0.008029256016016006,0.23353934288024902,False
slice_150.wav,Voitures normales,True,False,True,0.969052255153656,False,4.582182276300327e-14,0.21512770652770996,False
slice_177.wav,Voitures normales,True,False,True,0.9855072498321533,True,0.862167477607727,0.21158671379089355,False
slice_036.wav,Voitures normales,True,False,True,0.9493106603622437,False,2.6114326629952944e-13,0.21222996711730957,False
slice_218.wav,Voitures normales,True,False,True,0.883521318435669,False,3.6757634713779908e-09,0.21501731872558594,False
slice_012.wav,Voitures normales,True,False,True,0.5063015222549438,False,9.536014339284193e-11,0.21201014518737793,False
slice_074.wav,Voitures normales,True,False,True,0.9875414371490479,False,1.0944073425278589e-09,0.2301008701324463,False
slice_202.wav,Voitures normales,True,False,True,0.9492447972297668,False,3.755358648049878e-06,0.2219712734222412,False
slice_198.wav,Voitures normales,True,False,True,0.99555903673172,False,7.039167394395918e-05,0.20809316635131836,False
slice_022.wav,Voitures normales,True,False,True,0.5051884651184082,False,4.784799667589823e-09,0.2126479148864746,False
slice_169.wav,Voitures normales,True,False,True,0.9923536777496338,False,2.510468569139057e-11,0.22481513023376465,False
slice_073.wav,Voitures normales,True,False,True,0.978246808052063,False,4.60207399965995e-10,0.22517991065979004,False
slice_216.wav,Voitures normales,True,False,True,0.988210141658783,False,0.0004611449548974633,0.2117774486541748,False
slice_155.wav,Voitures normales,True,False,True,0.9977216720581055,True,0.9955360293388367,0.21061253547668457,False
slice_088.wav,Voitures normales,True,False,True,0.9864045977592468,False,6.1095422054791015e-09,0.2118823528289795,False
slice_031.wav,Voitures normales,True,False,True,0.9665539264678955,False,7.50303410981118e-13,0.22124123573303223,False
slice_114.wav,Voitures normales,True,False,True,0.9884592294692993,False,8.30141597824019e-12,0.20890092849731445,False
slice_159.wav,Voitures normales,True,False,True,0.991047203540802,False,1.720341924471569e-10,0.20533299446105957,False
slice_225.wav,Voitures normales,True,False,True,0.9963366985321045,False,0.0016329095233231783,0.21983051300048828,False
slice_020.wav,Voitures normales,True,False,False,0.39064615964889526,,,0.10480022430419922,False
slice_052.wav,Voitures normales,True,False,True,0.9044044613838196,False,6.927881879281728e-12,0.21402931213378906,False
slice_166.wav,Voitures normales,True,False,True,0.9910477995872498,False,2.8705576937682054e-07,0.2172708511352539,False
slice_119.wav,Voitures normales,True,False,True,0.9760664105415344,False,5.987744513809377e-15,0.19904732704162598,False
slice_062.wav,Voitures normales,True,False,True,0.9811286330223083,False,4.2791956644805396e-09,0.21122384071350098,False
slice_123.wav,Voitures normales,True,False,True,0.9823456406593323,False,3.1246893961167643e-09,0.2171180248260498,False
slice_227.wav,Voitures normales,True,False,True,0.9956629872322083,False,4.303123932913877e-05,0.22022700309753418,False
slice_135.wav,Voitures normales,True,False,True,0.9910188317298889,False,1.1998891880082851e-09,0.21355104446411133,False
slice_139.wav,Voitures normales,True,False,True,0.9738008975982666,False,5.250918623522782e-12,0.21541380882263184,False
slice_084.wav,Voitures normales,True,False,True,0.9938892126083374,False,3.263324899194231e-08,0.22560811042785645,False
slice_146.wav,Voitures normales,True,False,True,0.9880596995353699,False,4.01439645414392e-11,0.21104073524475098,False
slice_129.wav,Voitures normales,True,False,True,0.9910737872123718,False,1.8890321598630244e-11,0.20368432998657227,False
slice_108.wav,Voitures normales,True,False,True,0.9893401861190796,False,3.541127568951197e-07,0.21235942840576172,False
slice_106.wav,Voitures normales,True,False,True,0.894728422164917,False,3.4806324489267126e-10,0.20931100845336914,False
slice_214.wav,Voitures normales,True,False,True,0.9414498805999756,False,1.1332657550156e-06,0.20336341857910156,False
slice_128.wav,Voitures normales,True,False,True,0.9884448647499084,False,1.337287702796175e-08,0.2228100299835205,False
slice_103.wav,Voitures normales,True,False,True,0.9802511930465698,False,2.469200524046755e-07,0.20331239700317383,False
slice_093.wav,Voitures normales,True,False,True,0.9700050950050354,False,3.935671788468653e-10,0.2122483253479004,False
slice_105.wav,Voitures normales,True,False,True,0.9894201755523682,False,2.798228593281493e-10,0.20589113235473633,False
slice_148.wav,Voitures normales,True,False,True,0.9612868428230286,False,7.872431547796543e-13,0.2128591537475586,False
