name,score
delta_mfcc_1_std,0.05302867324107155
mfcc_25_mean,0.030478785041896925
onset_std,0.0253942260641717
mfcc_31_mean,0.023923877952990412
mfcc_28_mean,0.023885969557649364
mfcc_34_mean,0.02124719030415039
mfcc_15_mean,0.02095879277778529
delta_mfcc_3_std,0.02047806672181175
mel_temporal_var_mean,0.019556376814813058
mfcc_12_mean,0.017543477941061633
onset_mean,0.01562055167618662
mfcc_26_mean,0.014033849547432546
spectral_flatness_mean,0.013710417403358273
delta_mfcc_12_std,0.012593255612377443
delta_mfcc_6_std,0.012049722032809927
mfcc_27_mean,0.010588425819577323
high_low_energy_ratio,0.010443027958886972
mfcc_13_mean,0.010294512170104105
mfcc_4_mean,0.010281354189788856
mfcc_21_mean,0.010128704168852637
mfcc_22_mean,0.009901323474337911
spectral_centroid_mean,0.00963035091812706
delta_mfcc_2_std,0.00928223009953
mfcc_30_mean,0.00899366350714358
delta_mfcc_6_mean,0.008595180322269181
high_freq_energy,0.008342856362891378
very_high_freq_8k,0.007773189802749233
low_high_ratio,0.007707104371569424
zcr_mean,0.007394132657439268
delta_mfcc_3_mean,0.007098638812986617
mfcc_36_std,0.0070158047323001385
psd_motor_high,0.00689383162761693
delta_mfcc_8_mean,0.006506977757973692
mfcc_22_std,0.0062251650826346296
mfcc_35_mean,0.006224890318149401
mel_temporal_var_std,0.00618773837688311
energy,0.006120215902001086
chroma_2_mean,0.00611240255304578
high_freq_2k_8k,0.005694074099738755
delta_mfcc_2_mean,0.005681504025681839
delta_mfcc_1_mean,0.005627057191562153
mfcc_1_mean,0.005551702858262826
mfcc_35_std,0.005405569632555125
onset_peaks_rate,0.005353083489528902
chroma_mean,0.005341769356448494
mfcc_36_mean,0.005334361387221268
delta_mfcc_4_mean,0.005178451647817619
mfcc_33_mean,0.005175984431198693
delta2_mfcc_3_mean,0.005141711435448951
delta2_mfcc_13_mean,0.00514118807867054
mfcc_3_mean,0.005052709977367624
chroma_0_mean,0.005006319454649584
chroma_6_mean,0.0049876721210039094
mfcc_38_mean,0.004876773180257368
mel_high_std,0.004763623177312202
delta_mfcc_13_mean,0.004750896181919393
chroma_1_mean,0.004710708508486068
delta_mfcc_9_std,0.004584127009703791
low_freq_energy,0.004567740877858401
mfcc_19_mean,0.004528636590930494
mfcc_8_mean,0.004483159089135494
spectral_peaks_count,0.004434731272867403
mfcc_32_mean,0.004421610655195556
chroma_11_mean,0.004407278586024541
mfcc_19_std,0.004367895927766824
mfcc_9_mean,0.004359865934612101
delta_mfcc_11_std,0.004338695726078454
mel_low_mean,0.004330102866595917
mfcc_8_std,0.004247071604734713
psd_exhaust,0.004196204164544613
delta_mfcc_8_std,0.004174681478936204
spectral_rolloff_mean,0.0041632429764641024
zcr_noise_max,0.004076545763583771
mel_low_std,0.004041997286542956
delta_mfcc_5_std,0.003994193812638803
delta2_mfcc_11_mean,0.003929821419029197
mfcc_31_std,0.003919370677605064
mel_mid_std,0.0038960153981767143
mfcc_10_mean,0.003871666377154358
delta_mfcc_5_mean,0.003849206528249141
mfcc_2_mean,0.0038341969424098995
delta2_mfcc_2_mean,0.0038011659914924376
delta_mfcc_10_std,0.003798240478027631
autocorr_peak_value,0.0037712213563107755
mfcc_24_mean,0.0037562855488250707
delta2_mfcc_1_mean,0.003737736478317575
dominant_peak_freq,0.003711807587864939
delta_mfcc_4_std,0.0036921689282789715
mfcc_14_std,0.0036227312167954255
zcr_noise_mean,0.0036083819963816954
mfcc_32_std,0.003506178230266346
spectral_rolloff_95_mean,0.0034562775170787104
mfcc_23_mean,0.0034544419153593815
mfcc_11_std,0.003309452789616953
chroma_std,0.0032727685772114845
delta2_mfcc_6_mean,0.003261701897168229
mfcc_14_mean,0.003249301522456528
chroma_9_mean,0.003228962855437198
low_freq_ratio,0.003206230461537364
mfcc_40_mean,0.0031734233058998557
mel_high_mean,0.00316208406224512
mfcc_20_mean,0.003155694792482808
delta2_mfcc_5_mean,0.003069534784522202
